horizon,r_squared,correlation,variable,coef,t_stat,p_value
3d,0.004160494492191358,0.06450189526046136,distilbert_score,-0.892907559212007,-0.7828436172608885,0.4339178152994053
3d,0.004160494492191358,0.06450189526046136,svc_score,-0.621227006999887,-0.4017416570595517,0.6879662675128682
3d,0.004160494492191358,0.06450189526046136,gbdt_score,-1.0635984976959059,-0.3823287123669211,0.7023047256215824
3d,0.004160494492191358,0.06450189526046136,knn_score,-1.7816908363712942,-1.1366975374746007,0.2559569240018593
3d,0.004160494492191358,0.06450189526046136,vader_score,2.786655671163982,0.9527568413096613,0.34096031039470653
9d,0.004868705099095871,0.0697761069356532,distilbert_score,0.17696805560765688,0.08866592733798216,0.929375192656474
9d,0.004868705099095871,0.0697761069356532,svc_score,-1.2717935214216154,-0.5217602231127199,0.602018086397752
9d,0.004868705099095871,0.0697761069356532,gbdt_score,-3.6340055169186725,-0.6061138971530333,0.5446543666372543
9d,0.004868705099095871,0.0697761069356532,knn_score,3.8124996384762295,1.5198037836055989,0.1290549200482176
9d,0.004868705099095871,0.0697761069356532,vader_score,1.6361472068767708,0.33837962580004044,0.7351882751950503
15d,0.006005388673931078,0.07749444285838243,distilbert_score,-0.724330770953404,-0.41211769227373635,0.6803562224160882
15d,0.006005388673931078,0.07749444285838243,svc_score,-1.2950705348699947,-0.6319595862975619,0.5275818281881601
15d,0.006005388673931078,0.07749444285838243,gbdt_score,-3.162819014120522,-0.8348567719596015,0.40403102106591826
15d,0.006005388673931078,0.07749444285838243,knn_score,-3.0348341839904913,-1.551275516520459,0.12120486187354199
15d,0.006005388673931078,0.07749444285838243,vader_score,2.3794529979344485,0.5603535406958072,0.57538476429655
1m,0.01024472501810969,0.10121622902533745,distilbert_score,-3.9875206286467257,-1.1647326013444033,0.24456462205745388
1m,0.01024472501810969,0.10121622902533745,svc_score,-2.538160481877108,-0.5980899951589584,0.5499931349734511
1m,0.01024472501810969,0.10121622902533745,gbdt_score,15.917855321420623,1.3704524754871064,0.1710299612077498
1m,0.01024472501810969,0.10121622902533745,knn_score,7.043380989556817,1.6823794127152614,0.09298690185115296
1m,0.01024472501810969,0.10121622902533745,vader_score,-4.68570883818988,-0.5653549698065979,0.5720320380834507
2m,0.0055819158716134964,0.07471222036329617,distilbert_score,1.3845485371310093,0.39280127359445655,0.6945564730240188
2m,0.0055819158716134964,0.07471222036329617,svc_score,2.730673418177745,0.5986494965861385,0.5495527334614299
2m,0.0055819158716134964,0.07471222036329617,gbdt_score,-2.365260777987212,-0.272498034310144,0.7852997226046449
2m,0.0055819158716134964,0.07471222036329617,knn_score,0.23589341669693578,0.04878730138822365,0.9610992998889945
2m,0.0055819158716134964,0.07471222036329617,vader_score,15.312562051367848,1.6593572639306189,0.09738169994033606
3m,0.0016905453907443135,0.041116242420050145,distilbert_score,-0.8641502439363453,-0.19823419968500952,0.8429090091511058
3m,0.0016905453907443135,0.041116242420050145,svc_score,-3.459469212878273,-0.6685280667735934,0.5039772257841932
3m,0.0016905453907443135,0.041116242420050145,gbdt_score,6.281323255039543,0.6603822843830239,0.5091866166884349
3m,0.0016905453907443135,0.041116242420050145,knn_score,4.03775063692283,0.8237717190198158,0.4102992705813261
3m,0.0016905453907443135,0.041116242420050145,vader_score,3.5331104839672562,0.32969843282847455,0.7417086880286647
